# Nmap 7.95 scan initiated Fri Oct  3 21:34:29 2025 as: nmap -p- -T4 -n -Pn -oN /workspace/htb/celestial-scribe/scans/nmap_full.txt 94.237.123.119
Nmap scan report for 94.237.123.119
Host is up (0.16s latency).
Not shown: 65052 closed tcp ports (conn-refused)
PORT      STATE    SERVICE
19/tcp    filtered chargen
22/tcp    open     ssh
25/tcp    filtered smtp
111/tcp   open     rpcbind
4240/tcp  open     vrml-multi-use
9962/tcp  open     unknown
10256/tcp open     unknown
30175/tcp open     unknown
30213/tcp open     unknown
30282/tcp open     unknown
30347/tcp open     unknown
30386/tcp open     unknown
30387/tcp open     unknown
30429/tcp open     unknown
30454/tcp open     unknown
30541/tcp open     unknown
30570/tcp open     unknown
30582/tcp open     unknown
30645/tcp open     unknown
30666/tcp open     unknown
30737/tcp open     unknown
30747/tcp open     unknown
30815/tcp open     unknown
30826/tcp open     unknown
30864/tcp open     unknown
30922/tcp open     unknown
30969/tcp open     unknown
30973/tcp open     unknown
31004/tcp open     unknown
31080/tcp open     unknown
31191/tcp open     unknown
31223/tcp open     unknown
31224/tcp open     unknown
31440/tcp open     unknown
31538/tcp open     unknown
31612/tcp open     unknown
31664/tcp open     unknown
31764/tcp open     unknown
31861/tcp open     unknown
31899/tcp open     unknown
31911/tcp open     unknown
31930/tcp open     unknown
31934/tcp open     unknown
31960/tcp open     unknown
32110/tcp open     unknown
32250/tcp open     unknown
32294/tcp open     unknown
32310/tcp open     unknown
32412/tcp open     unknown
32507/tcp open     unknown
32568/tcp open     unknown
32668/tcp open     unknown
32677/tcp open     unknown
32749/tcp open     unknown
32913/tcp open     unknown
33001/tcp open     unknown
33035/tcp open     unknown
33262/tcp open     unknown
33277/tcp open     unknown
33367/tcp open     unknown
33398/tcp open     unknown
33629/tcp open     unknown
33729/tcp open     unknown
33746/tcp open     unknown
33797/tcp open     unknown
33809/tcp open     unknown
33864/tcp open     unknown
33876/tcp open     unknown
33880/tcp open     unknown
33897/tcp open     unknown
33938/tcp open     unknown
34040/tcp open     unknown
34190/tcp open     unknown
34239/tcp open     unknown
34275/tcp open     unknown
34380/tcp open     unknown
34390/tcp open     unknown
34399/tcp open     unknown
34406/tcp open     unknown
34471/tcp open     unknown
34490/tcp open     unknown
34573/tcp open     unknown
34628/tcp open     unknown
34631/tcp open     unknown
34640/tcp open     unknown
34657/tcp open     unknown
34840/tcp open     unknown
34856/tcp open     unknown
34863/tcp open     unknown
34912/tcp open     unknown
34983/tcp open     unknown
35073/tcp open     unknown
35236/tcp open     unknown
35241/tcp open     unknown
35273/tcp open     unknown
35468/tcp open     unknown
35500/tcp open     unknown
35557/tcp open     unknown
35618/tcp open     unknown
35653/tcp open     unknown
35693/tcp open     unknown
35747/tcp open     unknown
35806/tcp open     unknown
35818/tcp open     unknown
35890/tcp open     unknown
35926/tcp open     unknown
35934/tcp open     unknown
35961/tcp open     unknown
35966/tcp open     unknown
35977/tcp open     unknown
36026/tcp open     unknown
36036/tcp open     unknown
36042/tcp open     unknown
36074/tcp open     unknown
36106/tcp open     unknown
36382/tcp open     unknown
36506/tcp open     unknown
36559/tcp open     unknown
36646/tcp open     unknown
36673/tcp open     unknown
36700/tcp open     mapx
36723/tcp open     unknown
36746/tcp open     unknown
36776/tcp open     unknown
37022/tcp open     unknown
37071/tcp open     unknown
37154/tcp open     unknown
37172/tcp open     unknown
37205/tcp open     unknown
37304/tcp open     unknown
37385/tcp open     unknown
37390/tcp open     unknown
37429/tcp open     unknown
37681/tcp open     unknown
37740/tcp open     unknown
37770/tcp open     unknown
37815/tcp open     unknown
37897/tcp open     unknown
37985/tcp open     unknown
38097/tcp open     unknown
